country,article,geographic scope,start date,end date,n,sp,rho_c,asym_sp,psi_c,phi_c,alpha,beta,psi,eta
Brazil,Menezes et al.,N,"Jun 21, 20","Jun 24, 20",31869,849,0.027,103,0.121,0.578,0.85,1,0.29,136.14
Brazil,Maura da Silva et al.,S,"Jul 27, 20","Aug 8, 20",3156,1167,0.37,320,0.274,0.445,0.892,0.997,0.47,72.54
Brazil,Terças-Trettel,S,"Sep 16, 20","Oct 15, 20",4206,526,0.125,247,0.47,0.214,0.974,0.985,0.55,16.84
Brazil,Moura de Albuquerque et al.,S,"Aug 11, 20","Aug 13, 20",2447,276,0.113,103,0.373,0.306,0.848,0.99,0.49,31.99
Brazil,Moura de Albuquerque et al.,S,"Jun 10, 20","Jun 17, 20",2474,243,0.098,102,0.422,0.28,0.848,0.99,0.54,27.79
Brazil,Moura de Albuquerque et al.,S,"Sep 22, 20","Sep 24, 20",2012,264,0.131,101,0.384,0.285,0.848,0.99,0.5,29.54
Cameroon,Nwosu et al.,L,"Oct 14, 20","Nov 26, 20",971,302,0.311,194,0.642,0.28,0.915,0.935,0.87,35.18
Chile,Vial et al.,L,"Sep 25, 20","Nov 25, 20",2493,242,0.097,89,0.368,0.222,0.99,0.998,0.46,25.74
China,Li et al,N,"Apr 10, 20","Apr 18, 20",34857,427,0.012,326,0.763,0.033,0.958,1,0.79,3.4
Colombia,Garay et al.,S,"Jul 15, 20","Nov 15, 20",2564,1045,0.408,377,0.361,0.44,0.983,0.995,0.64,77.09
Colombia,Serrano-Coll et al.,L,"Dec 1, 20","Dec 31, 20",572,329,0.575,219,0.666,0.21,0.983,0.992,0.84,25.97
Denmark,Espenhain et al,N,"Aug 15, 20","Dec 11, 20",13095,369,0.028,112,0.304,0.432,0.97,1,0.53,75.98
France,Carrat et al.,N,"May 4, 20","Jun 23, 20",14628,983,0.067,188,0.191,0.639,0.87,0.975,0.27,39.37
France,Rouquette et al.,N,"May 2, 20","Nov 30, 20",45260,4348,0.096,2570,0.591,0.088,0.864,0.962,0.44,-26.07
